Unnamed: 0,album,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,song_name
0,Speak Now (Taylor's Version),1,7G0gBu6nLdhFDPRLc0HdDG,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,0.00444,0.646,0.783,1.38e-06,0.171,-2.846,0.0356,121.08,0.49,84,mine
1,Speak Now (Taylor's Version),2,3MytWN8L7shNYzGl4tAKRp,spotify:track:3MytWN8L7shNYzGl4tAKRp,0.0251,0.588,0.758,0.0,0.131,-2.347,0.0305,114.991,0.387,81,sparks fly
2,Speak Now (Taylor's Version),3,79uDOz0zuuWS7HWxzMmTa2,spotify:track:79uDOz0zuuWS7HWxzMmTa2,0.00621,0.497,0.635,0.0,0.117,-3.927,0.0273,142.063,0.203,84,back to december
3,Speak Now (Taylor's Version),4,5xXqyjLicvEpch72qEryFT,spotify:track:5xXqyjLicvEpch72qEryFT,0.248,0.727,0.677,0.0,0.143,-2.871,0.0325,118.995,0.639,80,speak now
4,Speak Now (Taylor's Version),5,1zU8j1x3yi9xalMF96pzKp,spotify:track:1zU8j1x3yi9xalMF96pzKp,0.0236,0.419,0.47,0.0,0.163,-5.016,0.0296,119.294,0.133,80,dear john
5,Speak Now (Taylor's Version),6,30Y4CV7A6YqtQtTTo7Ue4j,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,0.311,0.524,0.692,0.0,0.192,-3.866,0.0369,163.874,0.621,80,mean
6,Speak Now (Taylor's Version),7,6dTA6y0C2ReQklntzZl8l3,spotify:track:6dTA6y0C2ReQklntzZl8l3,0.00192,0.515,0.781,0.0,0.054,-2.608,0.0535,139.846,0.57,79,the story of us
7,Speak Now (Taylor's Version),8,2EFZ9emtKWEglWUQGEQ3P9,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,0.851,0.685,0.323,0.0,0.198,-7.103,0.0289,125.058,0.569,75,never grow up
8,Speak Now (Taylor's Version),9,3sW3oSbzsfecv9XoUdGs7h,spotify:track:3sW3oSbzsfecv9XoUdGs7h,0.012,0.505,0.532,0.0,0.149,-3.526,0.0265,81.907,0.216,87,enchanted
9,Speak Now (Taylor's Version),10,0NwGC0v03ysCYINtg6ns58,spotify:track:0NwGC0v03ysCYINtg6ns58,0.000886,0.496,0.885,0.0,0.191,-2.969,0.0803,145.863,0.665,82,better than revenge
10,Speak Now (Taylor's Version),11,12nBPF4Rh4XLFJV0YLN7uj,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,0.101,0.522,0.598,0.0,0.152,-5.327,0.0284,133.627,0.149,74,innocent
11,Speak Now (Taylor's Version),12,4tMzIAFTFdqGBQLdfbPces,spotify:track:4tMzIAFTFdqGBQLdfbPces,0.00667,0.427,0.915,0.0,0.221,-1.909,0.0619,162.201,0.355,77,haunted
12,Speak Now (Taylor's Version),13,59KOoHFcw5XfICnO57holu,spotify:track:59KOoHFcw5XfICnO57holu,0.447,0.55,0.366,4.43e-06,0.101,-8.46,0.0276,79.401,0.16,78,last kiss
13,Speak Now (Taylor's Version),14,4hqJ4bSlYJOXb6Z4SRmzxs,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,0.0122,0.375,0.65,0.0,0.189,-4.031,0.0402,203.89,0.0752,82,long live
14,Speak Now (Taylor's Version),15,3yNJkriPzWjkkDAWHIAVUq,spotify:track:3yNJkriPzWjkkDAWHIAVUq,0.449,0.535,0.488,0.0,0.111,-8.261,0.0278,159.813,0.348,75,ours
15,Speak Now (Taylor's Version),16,4evLyY5Ue1Wesc61t2KXAU,spotify:track:4evLyY5Ue1Wesc61t2KXAU,0.0031,0.533,0.742,0.0,0.108,-3.473,0.0303,131.93,0.356,72,superman
16,Speak Now (Taylor's Version),17,4e3ZNTAV6PCrdYMUrUlMpQ,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,0.0164,0.547,0.855,0.0,0.144,-4.7,0.0597,131.073,0.282,79,electric touch
17,Speak Now (Taylor's Version),18,0zo975x58DlXbZllWvfYhg,spotify:track:0zo975x58DlXbZllWvfYhg,0.159,0.474,0.763,0.0,0.138,-4.632,0.0505,78.133,0.231,79,when emma falls in love
18,Speak Now (Taylor's Version),19,5kHMfzgLZP95O9NBy0ku4v,spotify:track:5kHMfzgLZP95O9NBy0ku4v,0.0586,0.694,0.764,0.0,0.0608,-4.893,0.0337,123.044,0.819,88,i can see you
19,Speak Now (Taylor's Version),20,4ABYxlb92WBIjHu7TIKmml,spotify:track:4ABYxlb92WBIjHu7TIKmml,0.362,0.576,0.57,0.0,0.0668,-7.925,0.0434,147.803,0.378,79,castles crumbling
20,Speak Now (Taylor's Version),21,4s8BIKx4Zh6ryAEz8RTlaU,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,0.617,0.671,0.588,0.0,0.111,-4.675,0.0299,96.965,0.543,79,foolish one
21,Speak Now (Taylor's Version),22,1HCdems7PQZRj42QDWLA0A,spotify:track:1HCdems7PQZRj42QDWLA0A,0.3,0.624,0.585,0.0,0.0916,-5.847,0.0328,142.883,0.65,78,timeless
65,Midnights,1,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,85,lavender haze
